Unnamed: 0,cut,color,clarity,carat_weight,cut_quality,lab,symmetry,polish,eye_clean,culet_size,culet_condition,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,fluor_color,fluor_intensity,fancy_color_dominant_color,fancy_color_secondary_color,fancy_color_overtone,fancy_color_intensity,total_sales_price
112798,Round,D,SI2,0.5,Very Good,GIA,Very Good,Excellent,unknown,N,unknown,64.6,57,4.9,4.98,3.19,STK,TK,unknown,Faint,unknown,unknown,unknown,unknown,2010
92914,Round,D,SI1,0.4,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,62.4,58,4.67,4.71,2.93,M,TK,unknown,Faint,unknown,unknown,unknown,unknown,1480
212239,Pear,unknown,SI1,2.01,unknown,GIA,Good,Very Good,unknown,N,Pointed,63,62,9.92,6.51,4.1,VTK,XTK,unknown,None,Green,Yellow,unknown,Fancy Light,30874
162555,Round,K,VVS1,1,Excellent,IGI,Excellent,Excellent,Yes,unknown,Pointed,61.2,60,6.4,6.44,3.94,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,5173
214906,Round,D,VS2,2.15,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,61.9,59,8.26,8.3,5.12,M,STK,unknown,Faint,unknown,unknown,unknown,unknown,44060
150626,Round,F,SI2,0.78,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,61.4,59,5.92,5.95,3.64,M,STK,unknown,None,unknown,unknown,unknown,unknown,3815
195963,Round,K,VS1,1.6,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,62.9,58,7.36,7.42,4.65,STK,STK,unknown,Medium,unknown,unknown,unknown,unknown,12631
147068,Round,H,IF,0.59,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,62.6,59,5.32,5.36,3.34,M,STK,unknown,None,unknown,unknown,unknown,unknown,3644
82232,Round,E,VVS1,0.34,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,62.4,57,4.43,4.46,2.78,STK,STK,unknown,Faint,unknown,unknown,unknown,unknown,1220
69726,Round,I,VS2,0.35,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,61.4,59,4.52,4.55,2.78,M,STK,unknown,None,unknown,unknown,unknown,unknown,1048
47946,Round,E,VS1,0.3,Very Good,GIA,Very Good,Excellent,unknown,unknown,unknown,62.6,59,4.24,4.28,2.67,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,916
75960,Round,G,VVS2,0.31,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,62.5,58,4.29,4.32,2.69,M,STK,unknown,None,unknown,unknown,unknown,unknown,1106
160579,Round,K,SI1,1,Excellent,GIA,Very Good,Excellent,unknown,N,Pointed,62.2,58,6.34,6.42,3.97,TN,STK,unknown,None,unknown,unknown,unknown,unknown,4772
215399,Round,J,SI1,3.51,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.5,58,9.67,9.72,6.06,unknown,unknown,unknown,Strong,unknown,unknown,unknown,unknown,45779
79573,Round,E,VVS2,0.34,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,62.2,57,4.47,4.48,2.78,M,STK,unknown,Faint,unknown,unknown,unknown,unknown,1150
135968,Round,F,VVS2,0.5,Excellent,GIA,Very Good,Excellent,Yes,N,unknown,62.8,58,5.02,5.07,3.17,M,STK,unknown,None,unknown,unknown,unknown,unknown,3240
57820,Round,F,VVS1,0.25,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,62.4,57,4.02,4.05,2.52,STK,STK,unknown,None,unknown,unknown,unknown,unknown,980
64185,Round,H,VS2,0.33,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,61,56,4.46,4.48,2.73,M,STK,unknown,None,unknown,unknown,unknown,unknown,1014
6491,Round,I,SI1,0.3,Excellent,GIA,Excellent,Excellent,Yes,unknown,unknown,62.8,55,4.25,4.26,2.67,STK,STK,unknown,Medium,unknown,unknown,unknown,unknown,600
144273,Round,G,VS2,0.58,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,62.9,55,5.28,5.32,3.33,STK,STK,unknown,None,unknown,unknown,unknown,unknown,3484
130758,Round,H,SI2,0.7,Very Good,GIA,Very Good,Very Good,unknown,N,unknown,64.1,56,5.51,5.57,3.55,TN,TK,unknown,Medium,unknown,unknown,unknown,unknown,2912
192932,Oval,G,SI2,1.5,unknown,GIA,Very Good,Excellent,unknown,N,unknown,61.7,59,9.78,6.16,3.8,M,TK,unknown,None,unknown,unknown,unknown,unknown,12168
197828,Princess,J,VS1,2.1,unknown,GIA,Very Good,Very Good,unknown,N,unknown,70,72,7.31,7.19,5.04,M,STK,unknown,None,unknown,unknown,unknown,unknown,14433
153293,Round,H,VVS2,0.64,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,60.6,61,5.54,5.56,3.36,M,STK,unknown,Faint,unknown,unknown,unknown,unknown,3944
216702,Emerald,E,VVS2,2.78,unknown,GIA,Very Good,Excellent,unknown,unknown,unknown,65.9,69,9.56,7.04,4.64,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,54644
193670,Round,D,SI1,1.25,Very Good,GIA,Very Good,Very Good,unknown,unknown,unknown,61.9,58,6.88,6.97,4.29,TN,STK,unknown,Faint,unknown,unknown,unknown,unknown,11700
146910,Round,I,SI2,0.81,Very Good,GIA,Very Good,Excellent,unknown,N,unknown,64.5,57,5.75,5.83,3.74,TK,TK,unknown,None,unknown,unknown,unknown,unknown,3638
173445,Round,E,VS2,0.9,Very Good,GIA,Very Good,Excellent,unknown,N,unknown,63.7,57,6.01,6.06,3.85,STK,TK,unknown,Medium,unknown,unknown,unknown,unknown,6425
14564,Round,F,SI1,0.3,Very Good,GIA,Excellent,Excellent,unknown,N,unknown,63,56,4.26,4.28,2.69,VTN,STK,Blue,Medium,unknown,unknown,unknown,unknown,684
109020,Round,F,SI2,0.5,Excellent,GIA,Very Good,Excellent,unknown,unknown,unknown,62.5,56,5.02,5.07,3.15,unknown,unknown,unknown,Medium,unknown,unknown,unknown,unknown,1896
193956,Emerald,K,VVS2,1.71,unknown,GIA,Very Good,Excellent,unknown,N,unknown,71.6,68,7.39,5.65,4.04,VTK,VTK,unknown,Faint,unknown,unknown,unknown,unknown,12254
8902,Round,L,VS1,0.3,Excellent,GIA,Very Good,Very Good,Yes,N,unknown,63.3,56,4.23,4.27,2.69,TN,STK,unknown,Faint,unknown,unknown,unknown,unknown,594
185997,Cushion Modified,unknown,SI2,1.38,unknown,GIA,Very Good,Excellent,unknown,N,unknown,75.1,60,6.24,5.68,4.27,XTK,TN,Blue,Medium,Yellow,unknown,None,Fancy Intense,8943
216309,Round,G,SI2,3.33,Very Good,GIA,Excellent,Very Good,unknown,N,unknown,63.6,59,9.43,9.47,6.01,M,STK,Blue,Medium,unknown,unknown,unknown,unknown,51358
7524,Round,K,SI1,0.36,Very Good,HRD,Excellent,Very Good,unknown,unknown,unknown,56.8,62,4.69,4.74,2.68,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,614
172281,Princess,H,SI2,1.31,unknown,GIA,Very Good,Excellent,Yes,N,unknown,75.8,72,5.72,5.69,4.32,TK,VTK,unknown,None,unknown,unknown,unknown,unknown,6191
179126,Cushion Modified,unknown,VS1,0.27,unknown,GIA,Very Good,Very Good,Yes,N,unknown,80.8,62,3.54,3.49,2.82,VTK,VTK,unknown,Faint,Pink,Orange,unknown,Fancy,7292
7193,Round,L,VVS2,0.3,Excellent,GIA,Very Good,Excellent,unknown,unknown,unknown,63.1,58,4.22,4.27,2.68,unknown,unknown,unknown,Faint,unknown,unknown,unknown,unknown,610
106883,Round,F,VVS1,0.41,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,62.8,55,4.73,4.77,2.98,M,STK,unknown,Faint,unknown,unknown,unknown,unknown,1850
136106,Pear,D,SI1,0.7,unknown,GIA,Very Good,Excellent,unknown,unknown,unknown,65.5,59,7.83,4.75,3.11,unknown,unknown,unknown,Medium,unknown,unknown,unknown,unknown,3247
8333,Round,K,VS2,0.3,Excellent,GIA,Very Good,Excellent,Yes,unknown,unknown,61,61,4.3,4.34,2.64,STK,M,unknown,None,unknown,unknown,unknown,unknown,584
158634,Oval,I,VS2,0.9,unknown,GIA,Very Good,Excellent,unknown,N,unknown,63.7,59,7.27,5.46,3.48,M,TK,unknown,Faint,unknown,unknown,unknown,unknown,4320
86959,Round,K,VVS2,0.5,Excellent,IGI,Excellent,Excellent,Yes,unknown,unknown,59.3,60.5,5.16,5.18,3.07,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,1310
125742,Round,F,VS2,0.5,Very Good,GIA,Very Good,Very Good,unknown,unknown,unknown,62.2,59,5,5.04,3.12,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,2674
20670,Round,D,VVS2,0.19,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.6,58,3.68,3.7,2.31,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,736
24263,Round,I,SI1,0.3,Very Good,GIA,Very Good,Very Good,Yes,VS,unknown,61,59,4.27,4.3,2.61,TN,STK,unknown,Faint,unknown,unknown,unknown,unknown,750
126901,Round,E,VS1,0.5,Excellent,GIA,Very Good,Excellent,Yes,N,unknown,62.9,57,5.01,5.08,3.18,M,STK,unknown,None,unknown,unknown,unknown,unknown,2772
65445,Emerald,D,VS1,0.31,unknown,GIA,Very Good,Very Good,Yes,N,unknown,65.9,69,5.18,3.12,2.06,STK,TK,unknown,Faint,unknown,unknown,unknown,unknown,1008
154998,Round,L,SI1,1.16,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,62.8,57,6.67,6.71,4.2,M,STK,unknown,None,unknown,unknown,unknown,unknown,4144
21960,Round,E,SI1,0.3,Very Good,GIA,Excellent,Excellent,Yes,N,unknown,64.2,59,4.2,4.24,2.71,STK,TK,unknown,None,unknown,unknown,unknown,unknown,738
97222,Round,F,SI1,0.41,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,62.8,56,4.73,4.76,2.98,M,M,unknown,None,unknown,unknown,unknown,unknown,1548
61302,Round,E,VS2,0.3,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,63.1,56,4.24,4.26,2.68,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,994
207720,Round,I,VVS2,1.7,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,62.2,59,7.58,7.63,4.73,M,STK,unknown,None,unknown,unknown,unknown,unknown,19829
157018,Round,D,SI1,0.71,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.3,57,5.68,5.72,3.55,unknown,unknown,unknown,Faint,unknown,unknown,unknown,unknown,4255
52134,Round,F,VVS2,0.24,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,60.8,59,4.04,4.07,2.47,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,946
116018,Marquise,E,VVS1,0.46,unknown,GIA,Very Good,Excellent,unknown,unknown,unknown,62.3,59,7.6,4.06,2.53,unknown,unknown,unknown,Strong,unknown,unknown,unknown,unknown,2142
110793,Emerald,G,VVS1,0.5,unknown,GIA,Very Good,Excellent,Yes,N,unknown,74.4,74,4.31,4.08,3.04,TK,VTK,unknown,None,unknown,unknown,unknown,unknown,2048
184831,Round,H,VS2,1,Excellent,HRD,Excellent,Excellent,unknown,unknown,unknown,61.3,61,6.38,6.42,3.93,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,8744
37894,Round,G,SI1,0.31,Excellent,GIA,Excellent,Excellent,Yes,unknown,unknown,60.8,60,4.37,4.38,2.66,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,850
111135,Round,I,SI2,0.6,Excellent,GIA,Excellent,Very Good,unknown,unknown,unknown,62.7,58,5.36,5.4,3.37,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,2064
203459,Round,H,VS1,1.7,Excellent,IGI,Excellent,Excellent,Yes,N,Pointed,62.5,57,7.52,7.58,4.73,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,17348
48835,Round,F,SI1,0.32,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.1,59,4.38,4.41,2.73,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,928
205239,Oval,J,I1,3.11,unknown,IGI,Very Good,Very Good,unknown,unknown,unknown,62.6,59.5,11.41,8.2,5.13,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,19214
125500,Princess,J,SI1,0.71,unknown,GIA,Very Good,Excellent,unknown,N,unknown,78.8,70,4.71,4.6,3.62,M,VTK,unknown,None,unknown,unknown,unknown,unknown,2664
87541,Round,K,VS1,0.51,Excellent,IGI,Excellent,Excellent,unknown,unknown,unknown,0.6,0.57,5.09,5.11,3.15,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,1280
194971,Round,H,VS1,1.3,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,62.2,58,6.96,7,4.34,STK,STK,unknown,None,unknown,unknown,unknown,unknown,12900
156107,Round,M,VVS1,1.01,Excellent,IGI,Excellent,Excellent,Yes,unknown,unknown,61.1,62,6.42,6.46,3.93,M,unknown,unknown,Very Slight,unknown,unknown,unknown,unknown,4058
193335,Emerald,H,VS1,1.51,unknown,HRD,Excellent,Excellent,unknown,unknown,unknown,65,61,8.31,5.15,3.35,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,11563
115515,Round,G,SI1,0.5,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.9,56,5.03,5.07,3.18,unknown,unknown,unknown,Strong,unknown,unknown,unknown,unknown,2120
158305,Round,E,VVS1,0.59,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,61.4,61,5.39,5.42,3.32,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,4287
28659,Marquise,E,SI1,0.4,unknown,GIA,Very Good,Very Good,unknown,unknown,unknown,63,52,7.12,3.87,2.44,unknown,unknown,unknown,Very Strong,unknown,unknown,unknown,unknown,800
9929,Round,H,SI2,0.3,Very Good,GIA,Very Good,Excellent,unknown,unknown,unknown,57.1,62,4.43,4.46,2.54,unknown,unknown,unknown,Medium,unknown,unknown,unknown,unknown,630
188832,Round,G,VVS1,1.09,Excellent,IGI,Excellent,Excellent,unknown,unknown,unknown,62.6,58,6.52,6.57,4.1,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,10777
35923,Round,J,VVS2,0.3,Excellent,GIA,Very Good,Excellent,Yes,N,unknown,62.4,59,4.22,4.28,2.65,M,STK,unknown,None,unknown,unknown,unknown,unknown,844
184747,Round,H,VS1,1,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,63.5,56,6.32,6.36,4.03,M,STK,unknown,Faint,unknown,unknown,unknown,unknown,8731
114690,Radiant,E,VVS1,0.53,unknown,GIA,Very Good,Excellent,Yes,N,unknown,71.1,70,4.98,4.08,2.9,VTK,XTK,unknown,None,unknown,unknown,unknown,unknown,2214
50349,Round,E,VS1,0.3,Very Good,GIA,Very Good,Excellent,unknown,unknown,unknown,60.9,63,4.25,4.28,2.6,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,924
3448,Round,J,VS2,0.3,Very Good,IGI,Excellent,Excellent,unknown,unknown,unknown,64,57.5,4.17,4.2,2.68,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,548
35034,Heart,G,VS2,0.3,unknown,GIA,Very Good,Very Good,unknown,unknown,unknown,56.5,56,4.49,4.53,2.56,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,832
25986,Round,J,SI1,0.31,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,59.8,60,4.39,4.4,2.63,M,STK,unknown,None,unknown,unknown,unknown,unknown,764
16707,Round,D,VVS2,0.22,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,61,57,3.87,3.89,2.37,M,M,unknown,Faint,unknown,unknown,unknown,unknown,712
76333,Round,F,IF,0.26,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.4,57,4.09,4.11,2.56,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,1110
24950,Round,J,VVS1,0.3,Very Good,GIA,Excellent,Excellent,Yes,N,unknown,64.2,58,4.18,4.2,2.69,TK,TK,unknown,None,unknown,unknown,unknown,unknown,770
214643,Round,D,SI1,2.14,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.5,58,8.17,8.23,5.13,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,34996
12814,Round,F,VVS2,0.2,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.7,57,3.72,3.74,2.34,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,660
18914,Round,D,VVS1,0.19,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,59.6,60,3.73,3.75,2.23,M,STK,unknown,None,unknown,unknown,unknown,unknown,704
68213,Round,H,IF,0.3,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,61.9,59,4.29,4.32,2.67,STK,STK,unknown,None,unknown,unknown,unknown,unknown,1028
67023,Round,H,SI1,0.3,Excellent,IGI,Excellent,Very Good,unknown,unknown,unknown,0.6,0.6,4.22,4.26,2.69,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,1042
49978,Round,F,SI1,0.3,Excellent,GIA,Very Good,Excellent,Yes,N,unknown,63.2,56,4.23,4.28,2.69,M,STK,unknown,Faint,unknown,unknown,unknown,unknown,924
211368,Round,F,VS2,1.8,Excellent,GIA,Excellent,Excellent,Yes,N,Pointed,62.5,54,7.76,7.8,4.86,M,STK,Blue,Medium,unknown,unknown,unknown,unknown,24975
76505,Round,K,VS1,0.43,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,62.3,56,4.81,4.84,3,M,STK,unknown,Faint,unknown,unknown,unknown,unknown,1112
144829,Round,K,SI1,0.87,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,61.1,60,6.15,6.19,3.77,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,3550
143127,Round,H,IF,0.57,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.7,57,5.28,5.31,3.32,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,3520
177730,Round,H,VS1,0.9,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,62.8,55,6.12,6.15,3.85,M,STK,unknown,Faint,unknown,unknown,unknown,unknown,7896
82616,Round,G,VVS1,0.3,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,61.6,58,4.33,4.35,2.67,M,M,unknown,None,unknown,unknown,unknown,unknown,1196
3899,Round,L,VS2,0.31,Excellent,GIA,Excellent,Very Good,unknown,N,unknown,62.8,55,4.32,4.35,2.73,M,STK,unknown,Faint,unknown,unknown,unknown,unknown,558
201528,Round,I,SI1,1.7,Excellent,GIA,Excellent,Very Good,unknown,N,unknown,62.8,56,7.6,7.63,4.79,TN,STK,unknown,None,unknown,unknown,unknown,unknown,15081
32595,Round,F,SI1,0.35,Excellent,GIA,Excellent,Very Good,unknown,unknown,unknown,61.9,59,4.51,4.54,2.8,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,840
13889,Round,E,I1,0.3,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,60,59,4.33,4.36,2.61,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,672
135853,Round,K,SI2,1,Very Good,IGI,Excellent,Excellent,Yes,unknown,unknown,65.2,55.5,6.19,6.23,4.05,TK,TK,unknown,None,unknown,unknown,unknown,unknown,3239
95283,Round,J,SI2,0.51,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.1,56,5.12,5.15,3.19,unknown,unknown,Blue,Medium,unknown,unknown,unknown,unknown,1436
129128,Round,H,VS1,0.5,Excellent,GIA,Excellent,Very Good,unknown,unknown,unknown,60.5,59,5.14,5.15,3.11,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,2828
